"Taxon.Key","MatchName","Country","Year","Exports","Imports","Production"
100031,"Flounders, halibuts, soles, turbots","Chile","X2013",0,0,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2014",0,0,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2015",0,0,0
100031,"Flounders, halibuts, soles, turbots","Chile","X2016",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2010",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2011",0,2,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2012",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2013",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2014",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2015",0,0,0
100031,"Flounders, halibuts, soles, turbots","Peru","X2016",0,0,0
100035,"Herrings, sardines, anchovies","Brazil","X2010",48,31771,8720
100035,"Herrings, sardines, anchovies","Brazil","X2011",0,27907,8900
100035,"Herrings, sardines, anchovies","Brazil","X2012",161,43837,9000
100035,"Herrings, sardines, anchovies","Brazil","X2013",50,43628,8570
100035,"Herrings, sardines, anchovies","Brazil","X2014",15,23428,4850
100035,"Herrings, sardines, anchovies","Brazil","X2015",0,17983,4340
100035,"Herrings, sardines, anchovies","Brazil","X2016",6,72992,4560
100035,"Herrings, sardines, anchovies","Chile","X2010",0,0,0
100035,"Herrings, sardines, anchovies","Chile","X2011",0,26,0
100035,"Herrings, sardines, anchovies","Chile","X2012",0,0,0
100035,"Herrings, sardines, anchovies","Chile","X2013",0,23,20173
100035,"Herrings, sardines, anchovies","Chile","X2014",0,0,48765
100035,"Herrings, sardines, anchovies","Chile","X2015",0,0,0
100035,"Herrings, sardines, anchovies","Chile","X2016",0,0,0
100035,"Herrings, sardines, anchovies","Peru","X2010",453,261,0
100035,"Herrings, sardines, anchovies","Peru","X2011",1000,54,0
100035,"Herrings, sardines, anchovies","Peru","X2012",1801,1272,0
100035,"Herrings, sardines, anchovies","Peru","X2013",1955,5728,0
100035,"Herrings, sardines, anchovies","Peru","X2014",1081,795,0
100035,"Herrings, sardines, anchovies","Peru","X2015",355,571,0
100035,"Herrings, sardines, anchovies","Peru","X2016",529,30,0
100036,"Tunas, bonitos, billfishes","Brazil","X2010",592,5020,0
100036,"Tunas, bonitos, billfishes","Brazil","X2011",816,6100,0
100036,"Tunas, bonitos, billfishes","Brazil","X2012",922,5377,0
100036,"Tunas, bonitos, billfishes","Brazil","X2013",967,10137,0
100036,"Tunas, bonitos, billfishes","Brazil","X2014",1165,8719,0
100036,"Tunas, bonitos, billfishes","Brazil","X2015",973,9796,0
100036,"Tunas, bonitos, billfishes","Brazil","X2016",461,8167,0
100036,"Tunas, bonitos, billfishes","Chile","X2010",0,7361,0
100036,"Tunas, bonitos, billfishes","Chile","X2011",0,10476,0
100036,"Tunas, bonitos, billfishes","Chile","X2012",30,7581,0
100036,"Tunas, bonitos, billfishes","Chile","X2013",0,7746,0
100036,"Tunas, bonitos, billfishes","Chile","X2014",8,6034,0
100036,"Tunas, bonitos, billfishes","Chile","X2015",4,5785,0
100036,"Tunas, bonitos, billfishes","Chile","X2016",3,8289,0
100039,"Marine fishes","Brazil","X2010",10071,68899,114675
100039,"Marine fishes","Brazil","X2011",10352,129187,120932
100039,"Marine fishes","Brazil","X2012",7502,50767,126090
100039,"Marine fishes","Brazil","X2013",7418,52974,123200
100039,"Marine fishes","Brazil","X2014",9630,52869,125320
100039,"Marine fishes","Brazil","X2015",8258,37846,114970
100039,"Marine fishes","Brazil","X2016",9738,33847,119845
100039,"Marine fishes","Chile","X2010",55668,75192,129420
100039,"Marine fishes","Chile","X2011",65974,78768,213963
100039,"Marine fishes","Chile","X2012",73744,74043,161248
100039,"Marine fishes","Chile","X2013",69115,45607,84538
100039,"Marine fishes","Chile","X2014",86956,61127,88651
100039,"Marine fishes","Chile","X2015",81305,73050,153240
100039,"Marine fishes","Chile","X2016",70522,54180,168197
100039,"Marine fishes","Peru","X2010",282540,71740,21226
100039,"Marine fishes","Peru","X2011",337084,38541,25143
100039,"Marine fishes","Peru","X2012",344138,13860,28219
100039,"Marine fishes","Peru","X2013",156860,18786,22457
100039,"Marine fishes","Peru","X2014",189440,16655,25962
100039,"Marine fishes","Peru","X2015",142125,20407,30629
100039,"Marine fishes","Peru","X2016",118647,19706,30288
100043,"Lobsters, spiny-rock lobsters","Brazil","X2010",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2011",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2012",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2013",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2014",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2015",0,0,0
100043,"Lobsters, spiny-rock lobsters","Brazil","X2016",0,0,0
100043,"Lobsters, spiny-rock lobsters","Chile","X2010",0,0,1100
100043,"Lobsters, spiny-rock lobsters","Chile","X2011",0,0,970
100043,"Lobsters, spiny-rock lobsters","Chile","X2012",0,0,0
100043,"Lobsters, spiny-rock lobsters","Chile","X2013",71,0,0
100043,"Lobsters, spiny-rock lobsters","Chile","X2014",2,0,0
100043,"Lobsters, spiny-rock lobsters","Chile","X2015",0,0,0
100043,"Lobsters, spiny-rock lobsters","Chile","X2016",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2010",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2011",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2012",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2013",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2014",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2015",0,0,0
100043,"Lobsters, spiny-rock lobsters","Peru","X2016",0,0,0
100045,"Shrimps and prawns","Brazil","X2010",2292,0,2305
100045,"Shrimps and prawns","Brazil","X2011",603,0,610
100045,"Shrimps and prawns","Brazil","X2012",2,0,455
100045,"Shrimps and prawns","Brazil","X2013",9,1,1049
100045,"Shrimps and prawns","Brazil","X2014",0,1,700
100045,"Shrimps and prawns","Brazil","X2015",0,1,670
100045,"Shrimps and prawns","Brazil","X2016",6,0,930
100045,"Shrimps and prawns","Chile","X2010",637,1283,1671
100045,"Shrimps and prawns","Chile","X2011",681,1961,1471
100045,"Shrimps and prawns","Chile","X2012",258,2220,1277
100045,"Shrimps and prawns","Chile","X2013",409,2465,1376
100045,"Shrimps and prawns","Chile","X2014",437,2836,1329
100045,"Shrimps and prawns","Chile","X2015",379,3051,1474
100045,"Shrimps and prawns","Chile","X2016",532,3350,1511
100045,"Shrimps and prawns","Peru","X2010",10593,401,7410
100045,"Shrimps and prawns","Peru","X2011",12945,641,6724
100045,"Shrimps and prawns","Peru","X2012",9630,746,17045
100045,"Shrimps and prawns","Peru","X2013",9869,929,12272
100045,"Shrimps and prawns","Peru","X2014",12627,1420,15813
100045,"Shrimps and prawns","Peru","X2015",13518,3471,12382
100045,"Shrimps and prawns","Peru","X2016",13597,3177,13493
100047,"Marine crabs, shrimps, lobsters","Brazil","X2010",24,16,20
100047,"Marine crabs, shrimps, lobsters","Brazil","X2011",555,14,10
100047,"Marine crabs, shrimps, lobsters","Brazil","X2012",2764,99,0
100047,"Marine crabs, shrimps, lobsters","Brazil","X2013",4293,619,0
100047,"Marine crabs, shrimps, lobsters","Brazil","X2014",0,774,0
100047,"Marine crabs, shrimps, lobsters","Brazil","X2015",0,857,0
100047,"Marine crabs, shrimps, lobsters","Brazil","X2016",8,590,0
100047,"Marine crabs, shrimps, lobsters","Chile","X2010",2741,596,24470
100047,"Marine crabs, shrimps, lobsters","Chile","X2011",2435,1014,7841
100047,"Marine crabs, shrimps, lobsters","Chile","X2012",4226,1280,3556
100047,"Marine crabs, shrimps, lobsters","Chile","X2013",3902,1439,1900
100047,"Marine crabs, shrimps, lobsters","Chile","X2014",3654,1710,2717
100047,"Marine crabs, shrimps, lobsters","Chile","X2015",2727,1307,1385
100047,"Marine crabs, shrimps, lobsters","Chile","X2016",3199,1859,702
100047,"Marine crabs, shrimps, lobsters","Peru","X2010",10619,581,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2011",12537,328,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2012",15668,142,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2013",10533,213,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2014",12419,290,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2015",18843,1,0
100047,"Marine crabs, shrimps, lobsters","Peru","X2016",10520,1,0
100053,"Oysters","Brazil","X2010",0,0,0
100053,"Oysters","Brazil","X2011",0,0,0
100053,"Oysters","Brazil","X2012",0,0,0
100053,"Oysters","Brazil","X2013",0,0,0
100053,"Oysters","Brazil","X2014",0,0,0
100053,"Oysters","Brazil","X2015",0,0,0
100053,"Oysters","Brazil","X2016",0,0,0
100053,"Oysters","Chile","X2010",38,0,13
100053,"Oysters","Chile","X2011",12,0,0
100053,"Oysters","Chile","X2012",9,0,2
100053,"Oysters","Chile","X2013",6,1,0
100053,"Oysters","Chile","X2014",3,1,2
100053,"Oysters","Chile","X2015",4,1,0
100053,"Oysters","Chile","X2016",7,2,0
100053,"Oysters","Peru","X2010",0,0,0
100053,"Oysters","Peru","X2011",0,0,0
100053,"Oysters","Peru","X2012",0,0,0
100053,"Oysters","Peru","X2013",1,0,0
100053,"Oysters","Peru","X2014",0,0,0
100053,"Oysters","Peru","X2015",0,0,0
100053,"Oysters","Peru","X2016",0,0,0
100054,"Mussels","Brazil","X2010",0,213,0
100054,"Mussels","Brazil","X2011",0,53,0
100054,"Mussels","Brazil","X2012",0,40,0
100054,"Mussels","Brazil","X2013",0,0,0
100054,"Mussels","Brazil","X2014",0,48,0
100054,"Mussels","Brazil","X2015",0,49,0
100054,"Mussels","Brazil","X2016",0,71,0
100054,"Mussels","Chile","X2010",568,0,51129
100054,"Mussels","Chile","X2011",321,0,69971
100054,"Mussels","Chile","X2012",321,0,62907
100054,"Mussels","Chile","X2013",28,5,64219
100054,"Mussels","Chile","X2014",67,23,64716
100054,"Mussels","Chile","X2015",204,141,83630
100054,"Mussels","Chile","X2016",74,250,76126
100054,"Mussels","Peru","X2010",3,20,0
100054,"Mussels","Peru","X2011",1,3,0
100054,"Mussels","Peru","X2012",94,14,0
100054,"Mussels","Peru","X2013",47,15,0
100054,"Mussels","Peru","X2014",0,13,0
100054,"Mussels","Peru","X2015",0,18,0
100054,"Mussels","Peru","X2016",0,17,0
100056,"Clams, cockles, arkshells","Brazil","X2010",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2011",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2012",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2013",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2014",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2015",0,0,0
100056,"Clams, cockles, arkshells","Brazil","X2016",0,0,0
100056,"Clams, cockles, arkshells","Chile","X2010",0,0,0
100056,"Clams, cockles, arkshells","Chile","X2011",0,0,0
100056,"Clams, cockles, arkshells","Chile","X2012",2322,2,0
100056,"Clams, cockles, arkshells","Chile","X2013",1811,0,0
100056,"Clams, cockles, arkshells","Chile","X2014",2014,0,0
100056,"Clams, cockles, arkshells","Chile","X2015",2122,0,0
100056,"Clams, cockles, arkshells","Chile","X2016",2305,0,0
100056,"Clams, cockles, arkshells","Peru","X2010",0,0,0
100056,"Clams, cockles, arkshells","Peru","X2011",0,0,0
100056,"Clams, cockles, arkshells","Peru","X2012",73,0,0
100056,"Clams, cockles, arkshells","Peru","X2013",356,0,0
100056,"Clams, cockles, arkshells","Peru","X2014",317,0,0
100056,"Clams, cockles, arkshells","Peru","X2015",137,0,0
100056,"Clams, cockles, arkshells","Peru","X2016",38,1,0
100058,"Marine molluscs","Brazil","X2010",0,0,0
100058,"Marine molluscs","Brazil","X2011",0,0,0
100058,"Marine molluscs","Brazil","X2012",0,1,0
100058,"Marine molluscs","Brazil","X2013",0,0,0
100058,"Marine molluscs","Brazil","X2014",0,0,0
100058,"Marine molluscs","Brazil","X2015",0,0,0
100058,"Marine molluscs","Brazil","X2016",0,0,0
100058,"Marine molluscs","Chile","X2010",13982,193,4463
100058,"Marine molluscs","Chile","X2011",49206,156,4941
100058,"Marine molluscs","Chile","X2012",20569,355,3381
100058,"Marine molluscs","Chile","X2013",16572,190,2599
100058,"Marine molluscs","Chile","X2014",24591,410,2107
100058,"Marine molluscs","Chile","X2015",20470,447,2104
100058,"Marine molluscs","Chile","X2016",27590,672,1993
100058,"Marine molluscs","Peru","X2010",55019,46,0
100058,"Marine molluscs","Peru","X2011",74094,78,0
100058,"Marine molluscs","Peru","X2012",2604,47,0
100058,"Marine molluscs","Peru","X2013",1797,1,0
100058,"Marine molluscs","Peru","X2014",1648,2,0
100058,"Marine molluscs","Peru","X2015",2165,29,6
100058,"Marine molluscs","Peru","X2016",1810,0,0
100077,"Aquatic invertebrates","Chile","X2010",0,0,42
100077,"Aquatic invertebrates","Chile","X2011",0,0,82
100077,"Aquatic invertebrates","Chile","X2012",0,0,102
100077,"Aquatic invertebrates","Chile","X2013",0,0,95
100077,"Aquatic invertebrates","Chile","X2014",0,0,18
100077,"Aquatic invertebrates","Chile","X2015",0,0,30
100077,"Aquatic invertebrates","Chile","X2016",0,0,25
100196,"Cnidarians, coelenterates","Brazil","X2010",1,50,0
100196,"Cnidarians, coelenterates","Brazil","X2011",1,140,0
100196,"Cnidarians, coelenterates","Brazil","X2012",2,106,0
100196,"Cnidarians, coelenterates","Brazil","X2013",11,52,0
100196,"Cnidarians, coelenterates","Brazil","X2014",0,99,0
100196,"Cnidarians, coelenterates","Brazil","X2015",0,58,0
100196,"Cnidarians, coelenterates","Brazil","X2016",0,37,0
100196,"Cnidarians, coelenterates","Chile","X2010",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2011",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2012",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2013",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2014",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2015",0,0,0
100196,"Cnidarians, coelenterates","Chile","X2016",0,0,0
100196,"Cnidarians, coelenterates","Peru","X2010",1,1,0
100196,"Cnidarians, coelenterates","Peru","X2011",49,0,0
100196,"Cnidarians, coelenterates","Peru","X2012",62,0,0
100196,"Cnidarians, coelenterates","Peru","X2013",65,0,0
100196,"Cnidarians, coelenterates","Peru","X2014",13,1,0
100196,"Cnidarians, coelenterates","Peru","X2015",14,0,0
100196,"Cnidarians, coelenterates","Peru","X2016",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2010",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2011",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2012",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2013",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2014",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2015",0,0,0
100538,"Sharks, rays, chimaeras","Chile","X2016",0,0,0
200004,"Sharks, rays, skates","Brazil","X2010",0,1164,0
200004,"Sharks, rays, skates","Brazil","X2011",0,1693,0
200004,"Sharks, rays, skates","Brazil","X2012",0,1731,0
200004,"Sharks, rays, skates","Brazil","X2013",0,1401,0
200004,"Sharks, rays, skates","Brazil","X2014",0,1270,0
200004,"Sharks, rays, skates","Brazil","X2015",0,942,0
200004,"Sharks, rays, skates","Brazil","X2016",0,1277,0
200004,"Sharks, rays, skates","Chile","X2010",0,0,0
200004,"Sharks, rays, skates","Chile","X2011",0,0,0
200004,"Sharks, rays, skates","Chile","X2012",0,25,0
200004,"Sharks, rays, skates","Chile","X2013",0,0,0
200004,"Sharks, rays, skates","Chile","X2014",0,0,0
200004,"Sharks, rays, skates","Chile","X2015",0,0,0
200004,"Sharks, rays, skates","Chile","X2016",0,0,0
200004,"Sharks, rays, skates","Peru","X2010",0,0,0
200004,"Sharks, rays, skates","Peru","X2011",0,0,0
200004,"Sharks, rays, skates","Peru","X2012",0,0,0
200004,"Sharks, rays, skates","Peru","X2013",0,0,0
200004,"Sharks, rays, skates","Peru","X2014",0,0,0
200004,"Sharks, rays, skates","Peru","X2015",0,0,0
200004,"Sharks, rays, skates","Peru","X2016",0,0,0
200007,"Sharks","Brazil","X2010",0,18605,0
200007,"Sharks","Brazil","X2011",25,19374,0
200007,"Sharks","Brazil","X2012",5,21315,0
200007,"Sharks","Brazil","X2013",0,19385,0
200007,"Sharks","Brazil","X2014",0,17413,0
200007,"Sharks","Brazil","X2015",0,12833,0
200007,"Sharks","Brazil","X2016",11,15940,0
200007,"Sharks","Chile","X2010",0,0,29
200007,"Sharks","Chile","X2011",52,0,7
200007,"Sharks","Chile","X2012",25,0,37
200007,"Sharks","Chile","X2013",0,0,7
200007,"Sharks","Chile","X2014",2,5,1
200007,"Sharks","Chile","X2015",0,6,11
200007,"Sharks","Chile","X2016",22,5,58
200007,"Sharks","Peru","X2010",903,4716,477
200007,"Sharks","Peru","X2011",847,4298,305
200007,"Sharks","Peru","X2012",1197,4338,92
200007,"Sharks","Peru","X2013",633,3554,249
200007,"Sharks","Peru","X2014",673,3185,534
200007,"Sharks","Peru","X2015",864,3233,1116
200007,"Sharks","Peru","X2016",679,3998,851
290002,"Squids, cuttlefishes, octopuses","Brazil","X2010",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2011",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2012",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2013",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2014",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2015",0,0,0
290002,"Squids, cuttlefishes, octopuses","Brazil","X2016",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2010",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2011",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2012",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2013",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2014",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2015",0,0,0
290002,"Squids, cuttlefishes, octopuses","Peru","X2016",0,0,0
290004,"Clams","Brazil","X2010",0,0,0
290004,"Clams","Brazil","X2011",0,0,0
290004,"Clams","Brazil","X2012",0,0,0
290004,"Clams","Brazil","X2013",0,0,0
290004,"Clams","Brazil","X2014",0,0,0
290004,"Clams","Brazil","X2015",0,0,0
290004,"Clams","Brazil","X2016",0,0,0
290004,"Clams","Chile","X2010",6244,2,4615
290004,"Clams","Chile","X2011",3053,7,3839
290004,"Clams","Chile","X2012",5026,5,3816
290004,"Clams","Chile","X2013",3352,0,3662
290004,"Clams","Chile","X2014",4120,30,3203
290004,"Clams","Chile","X2015",3835,25,3697
290004,"Clams","Chile","X2016",2922,1,2769
290004,"Clams","Peru","X2010",0,0,40
290004,"Clams","Peru","X2011",0,0,6
290004,"Clams","Peru","X2012",0,0,0
290004,"Clams","Peru","X2013",0,0,170
290004,"Clams","Peru","X2014",0,0,179
290004,"Clams","Peru","X2015",0,0,159
290004,"Clams","Peru","X2016",0,0,34
290006,"Sea snails","Chile","X2010",2103,1,844
290006,"Sea snails","Chile","X2011",1652,1,550
290006,"Sea snails","Chile","X2012",1359,9,439
290006,"Sea snails","Chile","X2013",1159,0,397
290006,"Sea snails","Chile","X2014",965,0,437
290006,"Sea snails","Chile","X2015",914,1,546
290006,"Sea snails","Chile","X2016",1155,0,688
290006,"Sea snails","Peru","X2010",0,0,8
290006,"Sea snails","Peru","X2011",0,0,6
290006,"Sea snails","Peru","X2012",0,0,30
290006,"Sea snails","Peru","X2013",0,0,79
290006,"Sea snails","Peru","X2014",0,0,1243
290006,"Sea snails","Peru","X2015",0,0,176
290006,"Sea snails","Peru","X2016",0,0,18
290013,"True jellyfishes","Chile","X2010",0,0,0
290013,"True jellyfishes","Chile","X2011",0,0,0
290013,"True jellyfishes","Chile","X2012",0,0,0
290013,"True jellyfishes","Chile","X2013",0,0,0
290013,"True jellyfishes","Chile","X2014",0,0,0
290013,"True jellyfishes","Chile","X2015",0,0,0
290013,"True jellyfishes","Chile","X2016",0,0,0
300026,"Eels, morays","Brazil","X2010",0,0,0
300026,"Eels, morays","Brazil","X2011",0,0,0
300026,"Eels, morays","Brazil","X2012",0,0,0
300026,"Eels, morays","Brazil","X2013",0,1,0
300026,"Eels, morays","Brazil","X2014",0,0,0
300026,"Eels, morays","Brazil","X2015",0,2,0
300026,"Eels, morays","Brazil","X2016",0,1,0
300026,"Eels, morays","Chile","X2010",0,0,0
300026,"Eels, morays","Chile","X2011",0,0,0
300026,"Eels, morays","Chile","X2012",0,0,0
300026,"Eels, morays","Chile","X2013",0,0,0
300026,"Eels, morays","Chile","X2014",0,0,0
300026,"Eels, morays","Chile","X2015",0,2,0
300026,"Eels, morays","Chile","X2016",10,0,0
300026,"Eels, morays","Peru","X2010",0,0,0
300026,"Eels, morays","Peru","X2011",0,0,0
300026,"Eels, morays","Peru","X2012",0,0,0
300026,"Eels, morays","Peru","X2013",0,0,0
300026,"Eels, morays","Peru","X2014",0,0,0
300026,"Eels, morays","Peru","X2015",0,0,0
300026,"Eels, morays","Peru","X2016",1,0,0
300028,"Herrings, shads, anchovies","Brazil","X2010",0,1576,0
300028,"Herrings, shads, anchovies","Brazil","X2011",1,2782,0
300028,"Herrings, shads, anchovies","Brazil","X2012",0,2168,0
300028,"Herrings, shads, anchovies","Brazil","X2013",0,2169,0
300028,"Herrings, shads, anchovies","Brazil","X2014",0,909,0
300028,"Herrings, shads, anchovies","Brazil","X2015",0,576,0
300028,"Herrings, shads, anchovies","Brazil","X2016",0,216,0
300028,"Herrings, shads, anchovies","Chile","X2010",0,21,2175
300028,"Herrings, shads, anchovies","Chile","X2011",0,16,2086
300028,"Herrings, shads, anchovies","Chile","X2012",0,25,1771
300028,"Herrings, shads, anchovies","Chile","X2013",0,15,1884
300028,"Herrings, shads, anchovies","Chile","X2014",0,24,2120
300028,"Herrings, shads, anchovies","Chile","X2015",104,10,2056
300028,"Herrings, shads, anchovies","Chile","X2016",0,15,1791
300028,"Herrings, shads, anchovies","Peru","X2010",0,835,1598
300028,"Herrings, shads, anchovies","Peru","X2011",0,1107,396
300028,"Herrings, shads, anchovies","Peru","X2012",0,1214,508
300028,"Herrings, shads, anchovies","Peru","X2013",0,2077,1098
300028,"Herrings, shads, anchovies","Peru","X2014",0,1147,658
300028,"Herrings, shads, anchovies","Peru","X2015",0,1088,1495
300028,"Herrings, shads, anchovies","Peru","X2016",0,1672,991
300032,"Catfishes","Brazil","X2010",51,37,0
300032,"Catfishes","Brazil","X2011",34,20,0
300032,"Catfishes","Brazil","X2012",5,12724,0
300032,"Catfishes","Brazil","X2013",1,23411,0
300032,"Catfishes","Brazil","X2014",0,46559,0
300032,"Catfishes","Brazil","X2015",29,31077,0
300032,"Catfishes","Brazil","X2016",97,33815,0
300032,"Catfishes","Chile","X2010",0,0,0
300032,"Catfishes","Chile","X2011",0,0,0
300032,"Catfishes","Chile","X2012",0,2519,0
300032,"Catfishes","Chile","X2013",50,1508,0
300032,"Catfishes","Chile","X2014",0,2289,0
300032,"Catfishes","Chile","X2015",0,1849,0
300032,"Catfishes","Chile","X2016",0,2920,0
300032,"Catfishes","Peru","X2010",0,0,0
300032,"Catfishes","Peru","X2011",25,0,0
300032,"Catfishes","Peru","X2012",634,2699,0
300032,"Catfishes","Peru","X2013",104,1960,0
300032,"Catfishes","Peru","X2014",585,2575,0
300032,"Catfishes","Peru","X2015",0,1661,0
300032,"Catfishes","Peru","X2016",0,2147,0
300044,"Cods","Brazil","X2010",0,19411,0
300044,"Cods","Brazil","X2011",1,24067,0
300044,"Cods","Brazil","X2012",1183,23668,0
300044,"Cods","Brazil","X2013",981,27065,0
300044,"Cods","Brazil","X2014",439,33448,0
300044,"Cods","Brazil","X2015",888,24828,0
300044,"Cods","Brazil","X2016",1987,25401,0
300044,"Cods","Chile","X2010",998,0,1684
300044,"Cods","Chile","X2011",668,0,951
300044,"Cods","Chile","X2012",705,77,777
300044,"Cods","Chile","X2013",433,65,802
300044,"Cods","Chile","X2014",294,99,799
300044,"Cods","Chile","X2015",712,59,811
300044,"Cods","Chile","X2016",350,175,1517
300044,"Cods","Peru","X2010",84,5,0
300044,"Cods","Peru","X2011",76,4,0
300044,"Cods","Peru","X2012",1419,30,0
300044,"Cods","Peru","X2013",1228,137,0
