chl_name,sc_name,en_name,group,en_group,trade_name,yield
PEZ SOL,Lampris guttatus,Opah,pescado_otros,Fish,Opah,0.45
PICOROCO,Austromegabalanus psittacus,Giant barnacle,crustaceos_otros,Crustaceans,Giant barnacle,0.125
PIURE,Pyura chilensis,Chilean tunicate,piure,Piure,Chilean tunicate,0.125
PULPO,Octopus (vulgaris) mimus,Changos octopus,pulpo,Octopus,Octopus,0.725
PULPO DEL SUR,Enteroctopus megalocyathus,Southern red octopus,pulpo,Octopus,Octopus,0.725
PUYE,Galaxias maculatus,Common galaxias,pescado_otros,Fish,Common galaxias,0.5
RAYA ESPINOSA,Dipturus trachyderma,Ray,raya,Ray,Rays,0.5
RAYA VOLANTIN,Zearaja chilensis,Yellownose skate,raya,Ray,Rays,0.5
RAYA,Zearaja chilensis,Yellownose skate,raya,Ray,Rays,0.5
REINETA,Brama australis,Southern rays bream,pescado_otros,Fish,Southern rays bream,0.5
ROBALO,Eleginops maclovinus,Patagonian blennie,pescado_otros,Fish,Patagonian blennie,0.5
ROCOCO,Paralonchurus peruanus,Peruvian banded croaker,pescado_otros,Fish,Peruvian banded croaker,0.525
ROLLIZO,Pinguipes chilensis,Chilean sandperch,pescado_otros,Fish,Chilean sandperch,0.5
RONCACHO,Sciaena deliciosa,Lorna drum,pescado_otros,Fish,Lorna drum,0.525
SARDINA AUSTRAL,Sprattus fuegensis,Falkland sprat,sardina,Sprat and herring,Sardines,0.5
SARDINA AUSTRAL O DEL SUR,Sprattus fuegensis,Falkland sprat,sardina,Sprat and herring,Sardines,0.5
SARDINA COMUN,Strangomera bentincki,Araucanian herring,sardina,Sprat and herring,Sardines,0.5
SARDINA,Strangomera bentincki,Araucanian herring,sardina,Sprat and herring,Sardines,0.5
SARDINA ESPANOLA,Sardinops sagax,South American pilchard,sardina,Sprat and herring,Sardines,0.5
SARGO,Anisotremus scapularis,Peruvian grunt,pescado_otros,Fish,Peruvian grunt,0.525
SIERRA,Thyrsites atun,Snoek,tiburon,Shark,Mackerel,0.6
TAQUILLA,Mulinia edulis,Taquilla,almeja_otras,Clams,Clams,0.225
TIBURON O MARRAJO,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark,0.55
MARRAJO O TIBURON,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark,0.55
TIBURON SARDINERO,Lamna nasus,Porbeagle,tiburon,Shark,Shark,0.55
TOLLO O FUME,Mustelus mento,Speckled smooth-hound,tiburon,Shark,Shark,0.55
TOLLO,Mustelus mento,Speckled smooth-hound,tiburon,Shark,Shark,0.55
TOMOYO,Labrisomus philippii,Chalapo clinid,pescado_otros,Fish,Chalapo clinid,0.5
TUMBAO,Semele solida,Tumbao,almeja_otras,Clams,Clams,0.225
TOREMO,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.55
"VIDRIOLA,  PALOMETA  DORADO O TOREMO",Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.55
"VIDRIOLA, PALOMETA, DORADO O TOREMO",Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.55
PALOMETA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.55
PALOMERTA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.55
VIEJA O MULATA,Graus nigra,Vieja,pescado_otros,Fish,Vieja,0.55
ALBACORA O PEZ ESPADA / IVI HEHEU,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish,0.425
ANGUILA BABOSA,Eptatretus polytrema,Fourteen-gill hagfish,anguila,Eel,Eel,0.4
ATUN ALETA AMARILLA / KAHI AVE AVE,Thunnus albacares,Yellowfin tuna,atunes,Tuna,Tuna,0.475
"BACALAO I.PASCUA, ATUN ESCOFINA/KONSO",Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish,0.424
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO",Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish,0.424
CABRILLA ESPANOLA,Sebastes capensis,Cape redfish,pescado_otros,Fish,Cape redfish,0.5
CHASQUE O CHALACO,Auchenionchus spp.,Chalaco,pescado_otros,Fish,Chalaco,0.475
COJINOBA DEL NORTE / PIAFRI,Seriolella violacea,Palm ruff,pescado_otros,Fish,Warehou,0.6
COJINOBA DEL SUR O AZUL,Seriolella caerulea,White warehou,pescado_otros,Fish,Warehou,0.6
DORADO DE ALTURA / MAHI MAHI,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi,0.6
DORADO,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi,0.6
EMPERADOR,Luvarus imperialis,Luvar,pescado_otros,Fish,Luvar,0.5
GRANADERO GRANDE,Macrourus holotrachys,Bigeye grenadier,pescado_otros,Fish,Bigeye grenadier,0.5
JAIBA PACO,Mursia gaudichaudi,Paco crab,crustaceos_otros,Crustaceans,Crabs,0.225
JAIBA PANCORA,Hemigrapsus crenulatus,Hairy-handed crab,Crustaceos_otros,Crustaceans,Crabs,0.225
JUREL DE JUAN FERNANDEZ,Caranx georgianus,White trevally,jurel,Jack mackerel,Jack mackerel,0.5
KRILL,Euphasia superba,Antarctic krill,crustaceos_otros,Crustaceans,Krill,0.2
LANGOSTINO DE LOS CANALES,Munida subrugosa,Channel squat lobster,langostinos_otros,Langostinos,Langostinos,0.225
LAPA,Fissurella spp.,Keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LENGUADO,Paralichthys spp.,Large-tooth flounders,pescado_otros,Fish,Flounders,0.5
LENGUADO DE OJOS CHICOS,Paralichthys microps,Small-eye flounder,pescado_otros,Fish,Flounders,0.5
MARLIN RAYADO,Tetrapturus audax,Striped marlin,pescado_otros,Fish,Marlin,0.475
MORENA DE ALETA BAJA / KOREHA HA OKO,Gymnothorax porphyreus,Lowfin moray,anguila,Eel,Eel,0.4
PAMPANITO DE JUAN FERNANDEZ,Scorpis chilensis,Pampanito,pescado_otros,Fish,Pampanito,0.5
PEJE GATO HOCICON,Apristurus nasutus,Largenose catshark,pescado_otros,Fish,Largenose catshark,0.56
PICHIBUENO,Menticirrhus ophicephalus,Snakehead kingcroaker,pescado_otros,Fish,Snakehead kingcroaker,0.5
PULGA SALTARINA O GAMBITA,Gammarus sp,Grammarus,crustaceos_otros,Crustaceans,Grammarus,0.2
PULPO DEL NORTE,Octopus (vulgaris) mimus,Changos octopus,pulpo,Octopus,Octopus,0.725
SALMON REY,Oncorhynchus tshawytscha,Chinook salmon,salmon,Salmon,Salmon,0.5
"TIBURON FUME, GRIS O GATA DE MAR",Hexanchus griseus,Bluntnose sixgill shark,tiburon,Shark,Shark,0.55
TIBURON NARIGON GRIS,Deania calcea,Birdbeak dogfish,tiburon,Shark,Shark,0.55
TIBURON O MARRAJO DENTUDO,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark,0.55
TOLLO DE CACHOS,Squalus acanthias,Picked dogfish,tiburon,Shark,Shark,0.56
TOLL0 DE CACHOS,Squalus acanthias,Picked dogfish,tiburon,Shark,Shark,0.56
ACHA O HACHA,Medialuna ancietae,Sea Chab,pescado_otros,Fish,Sea Chab,0.5
ACHA,Medialuna ancietae,Sea Chab,pescado_otros,Fish,Sea Chab,0.5
ATUN OJOS GRANDES / KAHI MATA TATA,Thunnus obesus,Bigeye tuna,atunes,Tuna,Tuna,0.475
BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA,Polyprion oxygeneios,Hapuku wreckfish,pescado_otros,Fish,Hapuku wreckfish,0.424
BACALAO DE J. FERNANDEZ,Polyprion oxygeneios,Hapuku wreckfish,pescado_otros,Fish,Hapuku wreckfish,0.424
BARRACUDA O PETO / KANA KANA,Acanthocybium solandri,Wahoo,pescado_otros,Fish,Wahoo,0.4
CAMARON NAVAJA,Campylonotus semistriatus,Razor shrimp,camaron_otro,Shrimp,Shrimp,0.2
CAMARON DE TALUD,Campylonotus semistriatus,Razor shrimp,camaron_otro,Shrimp,Shrimp,0.2
CENTOLLA DEL NORTE,Lithodes spp.,Northen king crab,centolla_nor,King crab,King crab,0.3
LAPA BONETE,Fissurella costata,Costate keyhole limpet,moluscos_otros,Mollusks,Limpet,0.275
LENGUADO DE OJOS GRANDES,Hippoglossina macrops,Bigeye flounder,pescado_otros,Fish,Flounders,0.5
MEDUSA,Chrysaora Plocamia,South American sea nettle,meduza,Jellyfish,Jellyfish,1
PEJERRATA O GRANADERO,Coelorhynchus spp,Banded whiptail,pescado_otros,Fish,Chilean grenadier,0.5
PULPO DE JUAN FERNANDEZ,Octopus Crusoe,Crusoe octopus,pulpo,Octopus,Octopus,0.725
RAYA AGUILA,Myliobatis peruvianus,Peruvian eagle ray,raya,Ray,Rays,0.5
REMOREMO,Elagatis bipinnulata,Rainbow runner,pescado_otros,Fish,Rainbow runner,0.5
BACALAO ANTARTICO,Dissostichus mawsoni,Antarctic toothfish,pescado_otros,Fish,Antarctic toothfish,0.424
CALAMAR ILLEX O POTA DEL ATLANTICO,Illex argentinus,Argentine shortfin squid,moluscos_otros,Mollusks,Squid,0.8
MERLUZA DEL ATLANTICO,Merluccius hubbsi,Argentine hake,merluza,Hake,Hake,0.5
NOTOTENIA O MARUJITO,Patagonotothen ramsayi,Longtail southern cod,pescado_otros,Fish,Longtail southern cod,0.5
POTA DEL PACIFICO,Todarodes Pacificus,Japanese flying squid,moluscos_otros,Mollusks,Squid,0.75
RAYA MOTEADA O NEGRA,Sympterygia brevicaudata,Shorttail fanskate,raya,Ray,Rays,0.5
"ATUN LISTADO, BARRILETE, CACHURRETA/AUHOPU",Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Tuna,0.475
CACHURRETA,Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Tuna,0.475
BAGRE,Ameiurus melas,Black bullhead,pescado_otros,Fish,Black bullhead,0.5
BRECA DE JUAN FERNANDEZ,Nemadactylus gayi,Breca,pescado_otros,Fish,Breca Juan Fernandez,0.5
CARACOL TROPHON,Trophon geversianus,Gevers's trophon,caracoles_otros,Gastropods,Snails,0.2
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus,Ridge scaled rattail,pescado_otros,Fish,Chilean grenadier,0.5
CUBICEPS,Cubiceps,Driftfish,pescado_otros,Fish,Driftfish,0.5
ALGAS MIXTAS,Algas,Algaes,alga,Algae,Algae,0.75
CAROLA,Callophyllis variegata,Carola,alga,Algae,Algae,0.75
HUIRO NEGRO O CHASCON,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae,0.75
HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae,0.75
JUREL FINO,Decapterus macrosoma,Shortfin scad,jurel,Jack mackerel,Jack mackerel,0.5
"MATAHUIRA, KARA KARA O KRA KRA",Heteropriacanthus cruentatus,Glasseye,pescado_otros,Fish,Glasseye,0.5
"NANUE, NANUE PARA,  PISI O PUA",Kiphosus sandwicensis,Pacific chub,pescado_otros,Fish,Pacific chub,0.5
QUIMERA NEGRA,Hydrolagus melanophasma,Eastern Pacific Black Ghostshark,tiburon,Shark,Eastern Pacific Black Ghostshark,0.55
HAEMATOCOCCUS,Haematococcus pluvialis,Haematococcus,alga,Algae,Algae,0.75
SPIRULINA,Spirulina spp.,Spirulina,alga,Algae,Algae,0.75
HALIBUT O FLETAN,Hippoglossus hippoglossus,Atlantic halibut,pescado_otros,Fish,Atlantic halibut,0.5
LENGUADO FINO,Paralichthys adpersus,Fine flounder,pescado_otros,Fish,Flounders,0.5
SALMON DEL ATLANTICO,Salmo salar,Atlantic salmon,salmon,Salmon,Salmon,0.5
SALMON PLATEADO,Oncorhynchus kisutch,Coho salmon,salmon,Salmon,Salmon,0.5
TRUCHA ARCO IRIS,Oncorhynchus mykiss,Rainbow trout,trucha,Trout,Trout,0.5
TURBOT,Scophtalmus maximus,Turbot,pescado_otros,Fish,Turbot,0.5
ABALON JAPONES,Haliotis discus hannai,Japanese abalone,abalon japones,Abalone,Abalone,0.225
ABALON ROJO,Haliotis rufescens,Red Abalone,abalon_otras,Abalone,Abalone,0.225
OSTION DEL NORTE,Argopecten purpuratus,Peruvian calico scallop,ostion,Scallop,Scallop,0.15
OSTRA DEL PACIFICO,Crassostrea gigas,Pacifuc Oyster,ostra,Oyster,Oyster,0.125
SALMON PLATEADO O COHO,Oncorhynchus kisutch,Coho salmon,salmon,Salmon,Salmon,0.5
TRUCHA ARCOIRIS,Oncorhynchus mykiss,Rainbow trout,trucha,Trout,Trout,0.5
JAIBA,Cancer spp.,Crab,jaiba,Jaiba,Crabs,0.225
SALMON OTROS,Salmonidae,Salmon,salmon,Salmon,Salmon,0.5
CARACOL REAL O GIGANTE O VOLUTA ANGULOSA,Zidona dufresnei,Giant snail,caracoles_otros,Gastropods,Snails,0.2
LUGA LUGA,Mazzaella membranacea,Luga,alga,Algae,Algae,0.75
LUGA-LUGA,Mazzaella membranacea,Luga,alga,Algae,Algae,0.75
ALMEJA O TACA,Protothaca taca,Taca clam,almeja_otras,Clams,Clams,0.225
OSTION PATAGONICO,Chlamys patagonica,Patagonian scallop,ostion,Scallop,Scallop,0.15
ANCHOITA,Engraulis anchoita,Argentine anchovy,sardina,Sprat and herring,Sardines,0.5
HIRAME,Paralichthys olivaceus,Bastard halibut,sardina,Sprat and herring,Herring,0.5
CAMARON ECUATORIANO O PENAEUE,Penaeus vannamei,Whiteleg shrimp,camaron_ecu,Whiteleg shrimp,Shrimp,0.2
BABUNCO O BAUNCO,Doydixodon Laevifrons,Sea chub,pescado_otros,Fish,Sea chub,0.5
MOLUSCO NO CLASIFICADO,Mollusca,Molluscs,moluscos_otros,Mollusks,Other mollusks,0.225
